Date,Open Prices,High,Low,Close Prices,Trading Volume
2024-01-02,186.2376030973938,187.52132261231023,182.9935016661129,184.73497009277344,82488700
2024-01-03,183.32189307602442,184.973803899141,182.53573597559208,183.35174560546875,58414500
2024-01-04,181.261998363711,182.19741821935423,179.99820064627082,181.02317810058594,71983600
2024-01-05,181.10277101042314,181.8690061871609,179.29163655398915,180.2967071533203,62303300
2024-01-08,181.20228054123743,184.6951784875532,180.6151605231867,184.65536499023438,59144500
2024-01-09,183.02335798455337,184.24735728099782,181.83915700040632,184.23741149902344,42841800
2024-01-10,183.451291839185,185.49128585287383,183.02338021192023,185.28231811523438,46792900
2024-01-11,185.6305920580053,186.13811547472974,182.7248291738061,184.6852264404297,49128400
2024-01-12,185.1529277118819,185.8296205077815,184.2871739488164,185.01361083984375,40444700
2024-01-16,181.27193705900044,183.361690026594,180.04792262326768,182.73477172851562,65603000
2024-01-17,180.38628371133655,182.03817940296344,179.42101140332082,181.78939819335938,47317400
2024-01-18,185.18277784532793,188.21791164443712,184.9240508532924,187.7104034423828,78005800
2024-01-19,188.4069897270921,191.01421197583775,187.89948151982946,190.62611389160156,68741000
2024-01-22,191.36250312836654,194.37773007418247,191.3226896328841,192.9447479248047,60133900
2024-01-23,194.06926140547006,194.79569832767794,192.88506035011693,194.2284698486328,42355600
2024-01-24,194.4672860626603,195.42261254918643,193.39254945946814,193.55177307128906,53631300
2024-01-25,194.26827279243787,195.31315691300077,192.1685587692801,193.223388671875,54822100
2024-01-26,193.3229207532571,193.81052224173547,191.0042778879994,191.48193359375,44594000
2024-01-29,191.07390655519137,191.26298269587747,188.65576059016195,190.79527282714844,47145600
2024-01-30,190.00914701951908,190.86495502370778,186.55606247111587,187.12327575683594,55859400
2024-01-31,186.12815142243116,186.18787167030365,183.45127824224116,183.5010223388672,55467800
2024-02-01,183.09304712297666,186.03860850559406,182.92387770165894,185.9490509033203,64885400
2024-02-02,178.9831513103476,186.41673495449575,178.3761245608121,184.94395446777344,102518000
2024-02-05,187.23273981487074,188.3273832549743,184.9340037750539,186.76502990722656,69668800
2024-02-06,185.94904424082173,188.38709727213126,185.8594866417568,188.3771514892578,43490800
2024-02-07,189.71060210551596,190.118606941087,187.69049986083044,188.48660278320312,53439000
2024-02-08,188.46670752859183,188.61597019246477,186.4366593779137,187.4019317626953,40962000
2024-02-09,187.96985257532495,189.30503301755343,187.3222021069975,188.1691436767578,45155200
2024-02-12,187.7406910525987,187.9897897322466,186.1165627960856,186.4752655029297,41781900
2024-02-13,185.10024282819998,185.53865891732192,182.84838113476025,184.37286376953125,56529500
2024-02-14,184.6518638454696,184.8610982078661,181.78224238811126,183.48606872558594,54630500
2024-02-15,182.88824837462906,183.82486181575325,180.69618309757163,183.19712829589844,65434500
2024-02-16,182.75869330174024,184.18354546694673,181.0150027746939,181.65269470214844,49701400
2024-02-20,181.134577279735,181.77226924950583,179.3510375405212,180.90541076660156,53665600
2024-02-21,181.28405435734408,182.23062628266825,180.00867035619171,181.66268920898438,41529700
2024-02-22,182.81848586019305,184.29316088677606,181.8021742653834,183.7052764892578,52292200
2024-02-23,184.3429666556088,184.37285727847149,181.57299077597804,181.86195373535156,45119700
2024-02-26,181.5829745492965,182.10108884357552,179.99869543060538,180.50686645507812,40867400
2024-02-27,180.4470750372319,183.25690001064538,178.9126187804792,181.9715576171875,54318900
2024-02-28,181.8519814326113,182.45978277503792,179.48057251285755,180.7659149169922,48953900
2024-02-29,180.6164570963822,181.91177314365308,178.88272498353265,180.09832763671875,136682600
2024-03-01,178.90267929522304,179.87914188711767,176.74050452556773,179.0122833251953,73488000
2024-03-04,175.51490641269265,176.26220237846417,173.16341449891394,174.4687042236328,81510100
2024-03-05,170.14436011546877,171.4197441647657,169.00847072144566,169.5066680908203,95132400
2024-03-06,170.44326190896186,170.6226208472031,168.0718378391885,168.51025390625,68587700
2024-03-07,168.5401544147667,170.1144598371159,167.8825454793763,168.3907012939453,71765100
2024-03-08,168.3906825665046,173.07373401132705,168.33090132482457,170.11444091796875,76114600
2024-03-11,172.31649942978052,173.75131021022753,171.42970876738985,172.12718200683594,60139500
2024-03-12,172.52572483722957,173.40255698056936,170.39344092810595,172.60543823242188,59825400
2024-03-13,172.14711771653415,172.56560166885345,170.14435462584885,170.51303100585938,52488700
2024-03-14,172.286609864896,173.68155635236576,171.4297098215142,172.37628173828125,72913500
2024-03-15,170.5528808562992,171.99765014648438,169.6760486454164,171.99765014648438,121664700
2024-03-18,174.9370098250161,177.0692936926196,172.89439782384204,173.0936737060547,75604200
